,rank,link,year,director,avg_rating,num_of_ratings,people_watched,people_wants_to_watch,num_comment,num_reviews,Chinese_title,movie_length,main_country_region,main_language
43,44,https://movie.douban.com/subject/21937445/,2013,杨宇硕,9.2,303075,400046,144715,71640,1459,辩护人,127,韩国,韩语
44,45,https://movie.douban.com/subject/1293350/,1998,盖·里奇,9.1,342008,443356,161285,66080,622,两杆大烟枪,107,英国,英语
45,46,https://movie.douban.com/subject/1292224/,1975,米洛斯·福尔曼,9.1,345026,464644,182033,65613,1977,飞越疯人院,133,美国,英语
46,47,https://movie.douban.com/subject/1291548/,1989,彼得·威尔,9.0,375061,483911,160056,80659,3148,死亡诗社,128,美国,英语
47,48,https://movie.douban.com/subject/1309046/,2005,詹姆斯·麦克特格,8.8,572303,784048,161355,111979,1808,V字仇杀队,132,美国,英语
48,49,https://movie.douban.com/subject/1291572/,2002,彼得·杰克逊,9.0,362067,492593,35526,29691,186,指环王2：双塔奇兵,179,美国,英语
49,50,https://movie.douban.com/subject/1299131/,1974,弗朗西斯·福特·科波拉,9.1,257766,356984,77089,28350,306,教父2,202,美国,英语
50,51,https://movie.douban.com/subject/1293172/,1987,贝纳尔多·贝托鲁奇,9.1,285010,413761,155158,59492,1415,末代皇帝,163,英国,英语
51,52,https://movie.douban.com/subject/1291571/,2001,彼得·杰克逊,9.0,405531,556995,45593,43202,394,指环王1：魔戒再现,178,新西兰,英语
52,53,https://movie.douban.com/subject/3442220/,2009,路易·西霍尤斯,9.3,227555,305895,142700,51600,1719,海豚湾,92,美国,英语
53,54,https://movie.douban.com/subject/21937452/,2013,李濬益,9.2,268437,361459,114630,63196,1472,素媛,123,韩国,韩语
54,55,https://movie.douban.com/subject/1291818/,1994,李安,9.1,278035,359063,125410,64949,1545,饮食男女,124,台湾,汉语普通话
55,56,https://movie.douban.com/subject/1306029/,2001,朗·霍华德,8.9,397571,567990,151561,68212,1692,美丽心灵,135,美国,英语
56,57,https://movie.douban.com/subject/1292220/,1995,岩井俊二,8.9,495038,666656,164932,117169,4065,情书,117,日本,日语
57,58,https://movie.douban.com/subject/1301753/,1994,罗杰·阿勒斯,8.9,384583,585927,69037,43169,350,狮子王,89,美国,英语
58,59,https://movie.douban.com/subject/1296736/,2002,罗曼·波兰斯基,9.1,262233,342121,125102,43075,1072,钢琴家,150,法国,英语
59,60,https://movie.douban.com/subject/1292262/,1984,赛尔乔·莱昂内,9.1,225382,301855,192245,45940,1133,美国往事,229,意大利,英语
60,61,https://movie.douban.com/subject/1485260/,2008,大卫·芬奇,8.8,516560,685778,113369,92759,3435,本杰明·巴顿奇事,166,美国,英语
61,62,https://movie.douban.com/subject/1303021/,1997,马基德·马基迪,9.2,192123,246441,111430,41046,1211,小鞋子,89,伊朗,波斯语
62,63,https://movie.douban.com/subject/20495023/,2017,李·昂克里奇,9.0,683138,819548,84476,212698,5323,寻梦环游记,105,美国,英语
63,64,https://movie.douban.com/subject/1291843/,1999,莉莉·沃卓斯基,8.9,385171,593886,90143,51283,666,黑客帝国,136,美国,英语
64,65,https://movie.douban.com/subject/1292402/,2000,朱塞佩·托纳多雷,8.8,484266,660745,139397,91740,2991,西西里的美丽传说,109,意大利,意大利语
65,66,https://movie.douban.com/subject/1292223/,1995,大卫·芬奇,8.8,544434,733389,127974,82364,1585,七宗罪,127,美国,英语
66,67,https://movie.douban.com/subject/1780330/,2006,克里斯托弗·诺兰,8.8,450819,565936,118044,87084,1453,致命魔术,130,美国,英语
67,68,https://movie.douban.com/subject/3742360/,2010,姜文,8.7,843226,1222336,73555,165653,4691,让子弹飞,132,中国大陆,汉语普通话
68,69,https://movie.douban.com/subject/26580232/,2016,奥里奥尔·保罗,8.7,531648,639377,128990,145734,2195,看不见的客人,106,西班牙,西班牙语
69,70,https://movie.douban.com/subject/1292849/,1998,史蒂文·斯皮尔伯格,8.9,328237,465162,91994,41784,714,拯救大兵瑞恩,169,美国,英语
70,71,https://movie.douban.com/subject/1787291/,2006,中岛哲也,8.9,398099,523947,170691,112324,6087,被嫌弃的松子的一生,130,日本,日语
71,72,https://movie.douban.com/subject/1418019/,1961,万籁鸣,9.3,156163,256926,55689,16793,124,大闹天宫,114,中国大陆,汉语普通话
72,73,https://movie.douban.com/subject/1295038/,2001,克里斯·哥伦布,8.9,397685,541671,22481,46474,360,哈利·波特与魔法石,152,美国,英语
73,74,https://movie.douban.com/subject/1294408/,1965,罗伯特·怀斯,9.0,303012,424281,55602,36190,331,音乐之声,174,美国,英语
74,75,https://movie.douban.com/subject/1291832/,1994,昆汀·塔伦蒂诺,8.8,442400,580933,156301,85126,1233,低俗小说,154,美国,英语
75,76,https://movie.douban.com/subject/1292215/,2001,让-皮埃尔·热内,8.7,605265,904915,141071,114732,2293,天使爱美丽,122,法国,法语
76,77,https://movie.douban.com/subject/1294639/,1995,梅尔·吉布森,8.8,360416,514079,93671,57920,991,勇敢的心,177,美国,英语
77,78,https://movie.douban.com/subject/1293544/,1991,乔纳森·戴米,8.8,449783,612733,108432,66733,751,沉默的羔羊,118,美国,英语
78,79,https://movie.douban.com/subject/1292370/,1990,蒂姆·波顿,8.7,617230,866908,96178,97834,1877,剪刀手爱德华,105,美国,英语
