,rank,link,year,director,avg_rating,num_of_ratings,people_watched,people_wants_to_watch,num_comment,num_reviews,Chinese_title,movie_length,main_country_region,main_language
194,195,https://movie.douban.com/subject/1419936/,2005,安德鲁·尼科尔,8.6,207316,288758,65093,27600,555,战争之王,122,美国,英语
195,196,https://movie.douban.com/subject/1304102/,2002,道格·里曼,8.5,237889,322304,34850,29531,279,谍影重重,119,美国,英语
196,197,https://movie.douban.com/subject/1308767/,2004,保罗·格林格拉斯,8.6,198854,284912,28513,19822,151,谍影重重2,108,美国,英语
197,198,https://movie.douban.com/subject/25895901/,2015,是枝裕和,8.7,184073,227716,93318,56766,922,海街日记,127,日本,日语
198,199,https://movie.douban.com/subject/2363506/,2007,阿米尔·汗,8.9,107657,135285,74365,27084,925,地球上的星星,165,印度,印地语
199,200,https://movie.douban.com/subject/1292329/,1991,杨德昌,8.8,134236,179194,153444,31442,1131,牯岭街少年杀人事件,237,台湾,汉语普通话
200,201,https://movie.douban.com/subject/5964718/,2011,阿斯哈·法哈蒂,8.7,157307,210621,136575,43144,1169,一次别离,123,伊朗,波斯语
201,202,https://movie.douban.com/subject/1397546/,1998,克里斯托弗·诺兰,8.9,99521,120568,133728,25592,259,追随,69,英国,英语
202,203,https://movie.douban.com/subject/1303394/,1993,徐克,8.5,276736,402500,43668,43811,1117,青蛇,99,香港,粤语
203,204,https://movie.douban.com/subject/1293181/,1960,阿尔弗雷德·希区柯克,8.9,107205,141673,76742,23816,286,惊魂记,109,美国,英语
204,205,https://movie.douban.com/subject/1388216/,2004,保罗·哈吉斯,8.6,205124,277001,107091,35928,1034,撞车,112,美国,英语
205,206,https://movie.douban.com/subject/6874403/,2013,约翰·卡尼,8.5,220634,280835,126206,62136,1057,再次出发之纽约遇见你,104,美国,英语
206,207,https://movie.douban.com/subject/26393561/,2015,卡比尔·汗,8.5,232674,315206,67931,70075,1991,小萝莉的猴神大叔,159,印度,印地语
207,208,https://movie.douban.com/subject/3075287/,2011,邓肯·琼斯,8.4,484573,645165,83519,100916,2311,源代码,93,美国,英语
208,209,https://movie.douban.com/subject/1291844/,1991,詹姆斯·卡梅隆,8.6,178408,256439,25519,16860,189,终结者2：审判日,137,美国,英语
209,210,https://movie.douban.com/subject/1862151/,2006,宁浩,8.4,405504,582950,38347,46595,697,疯狂的石头,106,中国大陆,汉语普通话
210,211,https://movie.douban.com/subject/2222996/,2008,是枝裕和,8.8,118735,159753,142329,35746,941,步履不停,115,日本,日语
211,212,https://movie.douban.com/subject/1292270/,2000,达伦·阿伦诺夫斯基,8.7,134072,173976,122468,37086,770,梦之安魂曲,102,美国,英语
212,213,https://movie.douban.com/subject/1292287/,1992,李惠民,8.5,232361,344277,34299,27755,341,新龙门客栈,88,香港,汉语普通话
213,214,https://movie.douban.com/subject/4739952/,2010,普特鹏·普罗萨卡·那·萨克那卡林,8.3,571102,919862,59339,142425,3905,初恋这件小事,118,泰国,泰语
214,215,https://movie.douban.com/subject/1291568/,1953,小津安二郎,9.2,64975,95158,144441,18053,640,东京物语,136,日本,日语
215,216,https://movie.douban.com/subject/10808442/,2013,理查德·林克莱特,8.8,148111,200615,166993,41837,1044,爱在午夜降临前,109,美国,英语
216,217,https://movie.douban.com/subject/1293908/,1931,查理·卓别林,9.3,58141,94547,74004,9755,154,城市之光,87,美国,英语
217,218,https://movie.douban.com/subject/1438652/,2009,昆汀·塔伦蒂诺,8.5,268043,347740,104505,52867,879,无耻混蛋,153,美国,英语
218,219,https://movie.douban.com/subject/1300374/,1999,弗兰克·德拉邦特,8.7,131367,168883,69584,22427,537,绿里奇迹,189,美国,英语
219,220,https://movie.douban.com/subject/2300586/,2007,理查德·沙因克曼,8.5,226053,284747,106637,56402,1676,这个男人来自地球,87,美国,英语
220,221,https://movie.douban.com/subject/1428581/,1983,王树忱,9.1,68996,104356,16456,8419,86,天书奇谭,89,中国大陆,汉语普通话
221,222,https://movie.douban.com/subject/25807345/,2013,詹姆斯·沃德·布柯特,8.5,242093,304722,107750,62599,775,彗星来的那一夜,89,美国,英语
222,223,https://movie.douban.com/subject/1294638/,1982,史蒂文·斯皮尔伯格,8.5,192989,295147,57557,21229,209,E.T.,115,美国,英语
223,224,https://movie.douban.com/subject/1291992/,1991,雷德利·斯科特,8.7,126346,166392,88332,28218,741,末路狂花,130,美国,英语
224,225,https://movie.douban.com/subject/1292728/,1996,迈克尔·贝,8.6,168748,227893,39821,22010,254,勇闯夺命岛,136,美国,英语
225,226,https://movie.douban.com/subject/1428175/,2006,爱德华·兹威克,8.6,171169,264285,56394,25837,644,血钻,143,美国,英语
226,227,https://movie.douban.com/subject/1292659/,1997,吴宇森,8.4,253336,359154,50349,30299,312,变脸,138,美国,英语
227,228,https://movie.douban.com/subject/2043546/,2007,新海诚,8.3,374233,538669,118309,82336,2665,秒速5厘米,63,日本,日语
228,229,https://movie.douban.com/subject/25954475/,2015,汤姆·麦卡锡,8.8,157611,202667,107356,41220,879,聚焦,128,美国,英语
229,230,https://movie.douban.com/subject/1292233/,1971,斯坦利·库布里克,8.5,219258,296894,143402,42318,858,发条橙,136,英国,英语
230,231,https://movie.douban.com/subject/1401118/,1966,赛尔乔·莱昂内,9.1,64651,82248,61559,14544,244,黄金三镖客,161,意大利,意大利语
231,232,https://movie.douban.com/subject/25958717/,2015,阿兰·葛斯彭纳,9.1,75503,92784,63298,25740,546,海蒂和爷爷,111,德国,德语
232,233,https://movie.douban.com/subject/1296753/,1942,迈克尔·柯蒂兹,8.6,148201,201100,83096,28637,570,卡萨布兰卡,102,美国,英语
233,234,https://movie.douban.com/subject/1292226/,1968,斯坦利·库布里克,8.7,127235,165168,95313,36198,750,2001太空漫游,148,英国,英语
234,235,https://movie.douban.com/subject/1292214/,1995,布莱恩·辛格,8.6,147282,183655,97900,29414,343,非常嫌疑犯,106,德国,英语
235,236,https://movie.douban.com/subject/1291824/,2001,雷德利·斯科特,8.6,150233,198793,48250,22885,379,黑鹰坠落,144,美国,英语
236,237,https://movie.douban.com/subject/4023638/,2010,汤姆·霍珀,8.3,404544,593206,124685,76361,1256,国王的演讲,118,英国,英语
237,238,https://movie.douban.com/subject/1292062/,1999,萨姆·门德斯,8.5,220343,292779,92523,40913,1293,美国丽人,122,美国,英语
238,239,https://movie.douban.com/subject/5908478/,2011,秋昌旼,9.0,75158,91713,83468,23940,736,我爱你,118,韩国,韩语
239,240,https://movie.douban.com/subject/1300960/,1988,吕克·贝松,8.7,118317,164938,101881,25716,1098,碧海蓝天,132,法国,法语
240,241,https://movie.douban.com/subject/1300117/,1997,安德鲁·尼科尔,8.7,114849,144828,90682,28269,578,千钧一发,106,美国,英语
241,242,https://movie.douban.com/subject/1867345/,2007,罗伯·莱纳,8.5,165289,214667,80696,33226,998,遗愿清单,97,美国,英语
242,243,https://movie.douban.com/subject/3007773/,2009,理查德·柯蒂斯,8.6,186196,234086,107042,43576,854,海盗电台,116,英国,英语
243,244,https://movie.douban.com/subject/1905462/,2007,西恩·潘,8.6,151133,217849,144563,36621,2162,荒野生存,148,美国,英语
244,245,https://movie.douban.com/subject/1291853/,1996,安东尼·明格拉,8.5,199976,272019,144803,38002,957,英国病人,162,美国,英语
245,246,https://movie.douban.com/subject/1298653/,2000,罗伯特·泽米吉斯,8.5,167150,248741,70889,25885,600,荒岛余生,143,美国,英语
246,247,https://movie.douban.com/subject/3592854/,2015,乔治·米勒,8.6,257516,317328,54483,69446,514,疯狂的麦克斯4：狂暴之路,120,澳大利亚,英语
247,248,https://movie.douban.com/subject/1300741/,1999,杜琪峰,8.7,121544,158929,53724,22880,337,枪火,84,香港,粤语
248,249,https://movie.douban.com/subject/3217169/,2011,加文·欧康诺,8.9,101460,123540,66711,28326,580,勇士,140,美国,英语
249,250,https://movie.douban.com/subject/1291936/,1995,押井守,8.9,74607,93323,57342,14575,220,攻壳机动队,83,日本,日语
