rank,link,title,year,director,length,country_region,language,avg_rating,num_of_ratings,people_watched,people_wants_to_watch,num_comment,num_reviews
37,https://movie.douban.com/subject/1292000/,搏击俱乐部 Fight Club,1999,大卫·芬奇,139 ,美国 / 德国,英语,9.0,499187,646825,148483,100985,2291
38,https://movie.douban.com/subject/1299398/,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,1995,刘镇伟,87,香港 / 中国大陆,粤语 / 汉语普通话,8.9,588043,852950,35336,57655,595
39,https://movie.douban.com/subject/26387939/,摔跤吧！爸爸 Dangal,2016,涅提·蒂瓦里,161分钟(印,印度,印地语,9.0,723596,1047986,93147,187485,7713
40,https://movie.douban.com/subject/1293839/,罗马假日 Roman Holiday,1953,威廉·惠勒,118,美国,英语 / 意大利语 / 德语,9.0,516629,789734,133468,86666,1029
41,https://movie.douban.com/subject/1308807/,哈尔的移动城堡 ハウルの動く城,2004,宫崎骏,119,日本,日语,9.0,495845,649799,71662,74976,992
42,https://movie.douban.com/subject/1900841/,窃听风暴 Das Leben der Anderen,2006,弗洛里安·亨克尔·冯·多纳斯马尔克,137,德国,德语,9.1,307038,430962,198097,68130,1906
43,https://movie.douban.com/subject/1298624/,闻香识女人 Scent of a Woman,1992,马丁·布莱斯特,157 ,美国,英语,9.0,439133,616111,160764,85686,2138
44,https://movie.douban.com/subject/21937445/,辩护人 변호인,2013,杨宇硕,127,韩国,韩语,9.2,303075,400046,144715,71640,1459
45,https://movie.douban.com/subject/1293350/,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",1998,盖·里奇,107,英国,英语,9.1,342008,443356,161285,66080,622
46,https://movie.douban.com/subject/1292224/,飞越疯人院 One Flew Over the Cuckoo's Nest,1975,米洛斯·福尔曼,133,美国,英语,9.1,345026,464644,182033,65613,1977
47,https://movie.douban.com/subject/1291548/,死亡诗社 Dead Poets Society,1989,彼得·威尔,128 ,美国,英语 / 拉丁语,9.0,375061,483911,160056,80659,3148
48,https://movie.douban.com/subject/1309046/,V字仇杀队 V for Vendetta,2005,詹姆斯·麦克特格,132,美国 / 英国 / 德国,英语,8.8,572303,784048,161355,111979,1808
49,https://movie.douban.com/subject/1291572/,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,2002,彼得·杰克逊,179,美国 / 新西兰,英语 / 辛达林语 / 古代英语,9.0,362067,492593,35526,29691,186
50,https://movie.douban.com/subject/1299131/,教父2 The Godfather: Part Ⅱ,1974,弗朗西斯·福特·科波拉,202,美国,英语 / 意大利语 / 西班牙语 / 拉丁语 / 西西里语,9.1,257766,356984,77089,28350,306
51,https://movie.douban.com/subject/1293172/,末代皇帝 The Last Emperor,1987,贝纳尔多·贝托鲁奇,163,英国 / 意大利 / 中国大陆 / 法国 / 美国,英语 / 汉语普通话 / 日语 / 俄语,9.1,285010,413761,155158,59492,1415
52,https://movie.douban.com/subject/1291571/,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,2001,彼得·杰克逊,178,新西兰 / 美国,英语 / 辛达林语,9.0,405531,556995,45593,43202,394
53,https://movie.douban.com/subject/3442220/,海豚湾 The Cove,2009,路易·西霍尤斯,92,美国,英语 / 日语,9.3,227555,305895,142700,51600,1719
54,https://movie.douban.com/subject/21937452/,素媛 소원,2013,李濬益,123,韩国,韩语,9.2,268437,361459,114630,63196,1472
55,https://movie.douban.com/subject/1291818/,饮食男女 飲食男女,1994,李安,124,台湾 / 美国,汉语普通话 / 闽南语 / 湖南话,9.1,278035,359063,125410,64949,1545
56,https://movie.douban.com/subject/1306029/,美丽心灵 A Beautiful Mind,2001,朗·霍华德,135,美国,英语,8.9,397571,567990,151561,68212,1692
57,https://movie.douban.com/subject/1292220/,情书 Love Letter,1995,岩井俊二,117,日本,日语,8.9,495038,666656,164932,117169,4065
58,https://movie.douban.com/subject/1301753/,狮子王 The Lion King,1994,罗杰·阿勒斯,89 ,美国,英语 / 斯瓦希里语 / 科萨语 / 祖鲁语,8.9,384583,585927,69037,43169,350
59,https://movie.douban.com/subject/1296736/,钢琴家 The Pianist,2002,罗曼·波兰斯基,150,法国 / 德国 / 英国 / 波兰,英语 / 德语 / 俄语,9.1,262233,342121,125102,43075,1072
60,https://movie.douban.com/subject/1292262/,美国往事 Once Upon a Time in America,1984,赛尔乔·莱昂内,229分钟(导演剪辑,意大利 / 美国,英语 / 法语 / 意大利语,9.1,225382,301855,192245,45940,1133
61,https://movie.douban.com/subject/1485260/,本杰明·巴顿奇事 The Curious Case of Benjamin Button,2008,大卫·芬奇,166,美国,英语 / 俄语 / 法语,8.8,516560,685778,113369,92759,3435
62,https://movie.douban.com/subject/1303021/,小鞋子 بچههای آسمان,1997,马基德·马基迪,89,伊朗,波斯语,9.2,192123,246441,111430,41046,1211
