rank,link,title,year,director,length,country_region,language,avg_rating,num_of_ratings,people_watched,people_wants_to_watch,num_comment,num_reviews
160,https://movie.douban.com/subject/3443389/,海洋 Océans,2009,雅克·贝汉,104分钟(法,法国 / 瑞士 / 西班牙 / 美国 / 阿联酋,法语 / 英语,9.0,110975,143636,96759,29618,592
161,https://movie.douban.com/subject/1296909/,虎口脱险 La grande vadrouille,1966,热拉尔·乌里,132,法国 / 英国,法语 / 英语 / 德语,8.9,129257,175863,57453,19943,131
162,https://movie.douban.com/subject/1309163/,恋恋笔记本 The Notebook,2004,尼克·卡萨维茨,123,美国,英语,8.5,352523,473914,113448,82937,2144
163,https://movie.douban.com/subject/4848115/,你看起来好像很好吃 おまえうまそうだな,2010,藤森雅也,90,日本,日语,8.8,184667,234673,83020,51221,361
164,https://movie.douban.com/subject/1295865/,燃情岁月 Legends of the Fall,1994,爱德华·兹威克,133,美国,英语 / 科尼什语,8.7,172560,231145,84428,34000,1175
165,https://movie.douban.com/subject/26430107/,二十二,2015,郭柯,99分钟(公映,中国大陆,汉语普通话,8.7,146916,218083,100614,46027,3763
166,https://movie.douban.com/subject/10533913/,头脑特工队 Inside Out,2015,彼特·道格特,95,美国,英语,8.7,303172,369240,49610,76401,1081
167,https://movie.douban.com/subject/1291578/,冰川时代 Ice Age,2002,卡洛斯·沙尔丹哈,81 ,美国,英语 / 克罗地亚语,8.5,342494,494590,26753,27948,192
168,https://movie.douban.com/subject/1293460/,雨中曲 Singin' in the Rain,1952,斯坦利·多南,103,美国,英语,9.0,113140,147801,87948,20640,200
169,https://movie.douban.com/subject/6307447/,被解救的姜戈 Django Unchained,2012,昆汀·塔伦蒂诺,163分钟(中国大,美国,英语 / 法语 / 德语,8.6,320898,405414,108911,78187,1053
170,https://movie.douban.com/subject/1306861/,我是山姆 I Am Sam,2001,杰茜·尼尔森,132 ,美国,英语,8.9,134745,171251,94437,29707,577
171,https://movie.douban.com/subject/6534248/,无敌破坏王 Wreck-It Ralph,2012,瑞奇·摩尔,101,美国,英语,8.7,268703,360343,78904,63322,609
172,https://movie.douban.com/subject/1302827/,人工智能 Artificial Intelligence: AI,2001,史蒂文·斯皮尔伯格,146,美国,英语,8.6,237261,314877,98618,44128,1082
173,https://movie.douban.com/subject/1937946/,穿越时空的少女 時をかける少女,2006,细田守,98,日本,日语,8.6,226693,302644,92399,47430,1081
174,https://movie.douban.com/subject/1293964/,魂断蓝桥 Waterloo Bridge,1940,茂文·勒鲁瓦,108,美国,英语 / 法语,8.8,153473,248688,101668,23799,465
175,https://movie.douban.com/subject/25773932/,爆裂鼓手 Whiplash,2014,达米恩·查泽雷,107,美国,英语,8.6,295159,370993,91343,79439,1737
176,https://movie.douban.com/subject/1292528/,猜火车 Trainspotting,1996,丹尼·博伊尔,94,英国,英语,8.5,289184,388882,123606,54252,1188
177,https://movie.douban.com/subject/26683290/,你的名字。 君の名は。,2016,新海诚,106,日本,日语,8.4,654038,939870,136656,191484,5590
178,https://movie.douban.com/subject/1395091/,未麻的部屋 Perfect Blue,1997,今敏,81 ,日本,日语,8.9,129015,157685,90920,32012,488
179,https://movie.douban.com/subject/10463953/,模仿游戏 The Imitation Game,2014,莫滕·泰杜姆,114,英国 / 美国,英语 / 德语,8.6,322008,415397,125367,74622,1199
180,https://movie.douban.com/subject/1291879/,罗生门 羅生門,1950,黑泽明,88,日本,日语,8.7,159188,234875,146358,33518,1113
181,https://movie.douban.com/subject/26628357/,一个叫欧维的男人决定去死 En man som heter Ove,2015,汉内斯·赫尔姆,116,瑞典,瑞典语 / 波斯语,8.8,169182,221872,136373,47837,1144
182,https://movie.douban.com/subject/25724855/,房间 Room,2015,伦尼·阿伯拉罕森,118,爱尔兰 / 加拿大 / 英国 / 美国,英语,8.8,203306,276827,121900,51463,1291
183,https://movie.douban.com/subject/1305690/,阿飞正传 阿飛正傳,1990,王家卫,94,香港,粤语 / 汉语普通话 / 英语 / 菲律宾语 / 上海话,8.5,266387,382225,95265,55877,1383
184,https://movie.douban.com/subject/1959195/,忠犬八公物语 ハチ公物語,1987,神山征二郎,107 ,日本,日语,9.1,83403,198555,68146,12289,273
185,https://movie.douban.com/subject/26614893/,完美陌生人 Perfetti sconosciuti,2016,保罗·格诺维塞,97,意大利,意大利语,8.5,295795,370795,121978,94088,2348
186,https://movie.douban.com/subject/1760622/,香水 Perfume: The Story of a Murderer,2006,汤姆·提克威,147,德国 / 法国 / 西班牙 / 美国,英语,8.4,334567,441731,108181,69117,2415
187,https://movie.douban.com/subject/3011051/,恐怖游轮 Triangle,2009,克里斯托弗·史密斯,99 ,英国 / 澳大利亚,英语,8.4,411496,533753,63635,93589,1785
188,https://movie.douban.com/subject/1307811/,魔女宅急便 魔女の宅急便,1989,宫崎骏,103,日本,日语,8.5,249212,352733,53270,30618,486
189,https://movie.douban.com/subject/2297265/,浪潮 Die Welle,2008,丹尼斯·甘塞尔,107 ,德国,德语,8.7,160699,197367,106741,39369,1423
190,https://movie.douban.com/subject/2213597/,朗读者 The Reader,2008,史蒂芬·戴德利,124 ,美国 / 德国,英语 / 德语 / 希腊语 / 拉丁语,8.5,316877,421433,121063,51352,3030
191,https://movie.douban.com/subject/26611804/,"三块广告牌 Three Billboards Outside Ebbing, Missouri",2017,马丁·麦克唐纳,115,美国 / 英国,英语,8.7,419928,522139,186104,118672,3454
192,https://movie.douban.com/subject/1308857/,可可西里,2004,陆川,85分钟(中国大,中国大陆 / 香港,汉语普通话 / 藏语,8.7,157818,324397,82177,23820,630
193,https://movie.douban.com/subject/1307315/,哪吒闹海,1979,严定宪,65,中国大陆,汉语普通话,8.9,107470,167444,31354,10167,103
194,https://movie.douban.com/subject/1302467/,黑客帝国3：矩阵革命 The Matrix Revolutions,2003,莉莉·沃卓斯基,129 ,美国 / 澳大利亚,英语 / 法语,8.6,200046,276936,24521,17759,281
195,https://movie.douban.com/subject/1419936/,战争之王 Lord of War,2005,安德鲁·尼科尔,122 ,美国 / 法国,英语 / 法语 / 德语 / 俄语 / 西班牙语 / 乌克兰语 / 阿拉伯语 / 土耳其语 / 汉语普通话,8.6,207316,288758,65093,27600,555
196,https://movie.douban.com/subject/1304102/,谍影重重 The Bourne Identity,2002,道格·里曼,119,美国 / 德国 / 捷克,英语 / 法语 / 德语 / 荷兰语 / 意大利语,8.5,237889,322304,34850,29531,279
197,https://movie.douban.com/subject/1308767/,谍影重重2 The Bourne Supremacy,2004,保罗·格林格拉斯,108,美国 / 德国,英语 / 俄语 / 德语 / 意大利语,8.6,198854,284912,28513,19822,151
198,https://movie.douban.com/subject/25895901/,海街日记 海街diary,2015,是枝裕和,127,日本,日语,8.7,184073,227716,93318,56766,922
199,https://movie.douban.com/subject/2363506/,地球上的星星 Taare Zameen Par,2007,阿米尔·汗,165,印度,印地语 / 英语,8.9,107657,135285,74365,27084,925
200,https://movie.douban.com/subject/1292329/,牯岭街少年杀人事件 牯嶺街少年殺人事件,1991,杨德昌,237分钟(导演剪辑,台湾,汉语普通话 / 闽南语 / 上海话 / 粤语,8.8,134236,179194,153444,31442,1131
201,https://movie.douban.com/subject/5964718/,一次别离 جدایی نادر از سیمین,2011,阿斯哈·法哈蒂,123,伊朗 / 法国,波斯语,8.7,157307,210621,136575,43144,1169
202,https://movie.douban.com/subject/1397546/,追随 Following,1998,克里斯托弗·诺兰,69,英国,英语,8.9,99521,120568,133728,25592,259
203,https://movie.douban.com/subject/1303394/,青蛇,1993,徐克,99,香港,粤语,8.5,276736,402500,43668,43811,1117
204,https://movie.douban.com/subject/1293181/,惊魂记 Psycho,1960,阿尔弗雷德·希区柯克,109,美国,英语,8.9,107205,141673,76742,23816,286
205,https://movie.douban.com/subject/1388216/,撞车 Crash,2004,保罗·哈吉斯,112,美国 / 德国,英语 / 波斯语 / 西班牙语 / 汉语普通话 / 韩语,8.6,205124,277001,107091,35928,1034
206,https://movie.douban.com/subject/6874403/,再次出发之纽约遇见你 Begin Again,2013,约翰·卡尼,104,美国,英语,8.5,220634,280835,126206,62136,1057
207,https://movie.douban.com/subject/26393561/,小萝莉的猴神大叔 Bajrangi Bhaijaan,2015,卡比尔·汗,159,印度,印地语 / 乌尔都语,8.5,232674,315206,67931,70075,1991
208,https://movie.douban.com/subject/3075287/,源代码 Source Code,2011,邓肯·琼斯,93,美国 / 加拿大,英语,8.4,484573,645165,83519,100916,2311
209,https://movie.douban.com/subject/1291844/,终结者2：审判日 Terminator 2: Judgment Day,1991,詹姆斯·卡梅隆,137,美国 / 法国,英语 / 西班牙语,8.6,178408,256439,25519,16860,189
210,https://movie.douban.com/subject/1862151/,疯狂的石头,2006,宁浩,106 分钟(香,中国大陆 / 香港,汉语普通话 / 重庆话,8.4,405504,582950,38347,46595,697
211,https://movie.douban.com/subject/2222996/,步履不停 歩いても 歩いても,2008,是枝裕和,115,日本,日语,8.8,118735,159753,142329,35746,941
212,https://movie.douban.com/subject/1292270/,梦之安魂曲 Requiem for a Dream,2000,达伦·阿伦诺夫斯基,102,美国,英语,8.7,134072,173976,122468,37086,770
213,https://movie.douban.com/subject/1292287/,新龙门客栈 新龍門客棧,1992,李惠民,88,香港 / 中国大陆,汉语普通话 / 粤语,8.5,232361,344277,34299,27755,341
214,https://movie.douban.com/subject/4739952/,初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,2010,普特鹏·普罗萨卡·那·萨克那卡林,118分钟(泰,泰国,泰语 / 印度尼西亚语 / 英语,8.3,571102,919862,59339,142425,3905
215,https://movie.douban.com/subject/1291568/,东京物语 東京物語,1953,小津安二郎,136 ,日本,日语,9.2,64975,95158,144441,18053,640
216,https://movie.douban.com/subject/10808442/,爱在午夜降临前 Before Midnight,2013,理查德·林克莱特,109,美国 / 希腊,英语 / 希腊语 / 法语,8.8,148111,200615,166993,41837,1044
217,https://movie.douban.com/subject/1293908/,城市之光 City Lights,1931,查理·卓别林,87 ,美国,英语,9.3,58141,94547,74004,9755,154
218,https://movie.douban.com/subject/1438652/,无耻混蛋 Inglourious Basterds,2009,昆汀·塔伦蒂诺,153,美国 / 德国,英语 / 德语 / 法语 / 意大利语,8.5,268043,347740,104505,52867,879
219,https://movie.douban.com/subject/1300374/,绿里奇迹 The Green Mile,1999,弗兰克·德拉邦特,189 ,美国,英语 / 法语,8.7,131367,168883,69584,22427,537
220,https://movie.douban.com/subject/2300586/,这个男人来自地球 The Man from Earth,2007,理查德·沙因克曼,87 ,美国,英语,8.5,226053,284747,106637,56402,1676
221,https://movie.douban.com/subject/1428581/,天书奇谭,1983,王树忱,89,中国大陆,汉语普通话,9.1,68996,104356,16456,8419,86
222,https://movie.douban.com/subject/25807345/,彗星来的那一夜 Coherence,2013,詹姆斯·沃德·布柯特,89,美国 / 英国,英语,8.5,242093,304722,107750,62599,775
223,https://movie.douban.com/subject/1294638/,E.T. 外星人 E.T.: The Extra-Terrestrial,1982,史蒂文·斯皮尔伯格,115,美国,英语,8.5,192989,295147,57557,21229,209
224,https://movie.douban.com/subject/1291992/,末路狂花 Thelma & Louise,1991,雷德利·斯科特,130 ,美国 / 法国,英语,8.7,126346,166392,88332,28218,741
225,https://movie.douban.com/subject/1292728/,勇闯夺命岛 The Rock,1996,迈克尔·贝,136,美国,英语,8.6,168748,227893,39821,22010,254
226,https://movie.douban.com/subject/1428175/,血钻 Blood Diamond,2006,爱德华·兹威克,143 ,美国 / 德国,英语 / 门德语 / 南非荷兰语,8.6,171169,264285,56394,25837,644
227,https://movie.douban.com/subject/1292659/,变脸 Face/Off,1997,吴宇森,138,美国,英语 / 拉丁语,8.4,253336,359154,50349,30299,312
228,https://movie.douban.com/subject/2043546/,秒速5厘米 秒速5センチメートル,2007,新海诚,63,日本,日语,8.3,374233,538669,118309,82336,2665
229,https://movie.douban.com/subject/25954475/,聚焦 Spotlight,2015,汤姆·麦卡锡,128,美国,英语,8.8,157611,202667,107356,41220,879
230,https://movie.douban.com/subject/1292233/,发条橙 A Clockwork Orange,1971,斯坦利·库布里克,136 ,英国 / 美国,英语,8.5,219258,296894,143402,42318,858
231,https://movie.douban.com/subject/1401118/,"黄金三镖客 Il buono, il brutto, il cattivo.",1966,赛尔乔·莱昂内,161 ,意大利 / 西班牙 / 西德,意大利语 / 英语,9.1,64651,82248,61559,14544,244
232,https://movie.douban.com/subject/25958717/,海蒂和爷爷 Heidi,2015,阿兰·葛斯彭纳,111,德国 / 瑞士 / 南非,德语 / 瑞士德语 / 南非语,9.1,75503,92784,63298,25740,546
233,https://movie.douban.com/subject/1296753/,卡萨布兰卡 Casablanca,1942,迈克尔·柯蒂兹,102,美国,英语 / 法语 / 德语 / 意大利语,8.6,148201,201100,83096,28637,570
234,https://movie.douban.com/subject/1292226/,2001太空漫游 2001: A Space Odyssey,1968,斯坦利·库布里克,148,英国 / 美国,英语 / 俄语,8.7,127235,165168,95313,36198,750
235,https://movie.douban.com/subject/1292214/,非常嫌疑犯 The Usual Suspects,1995,布莱恩·辛格,106,德国 / 美国,英语 / 匈牙利语 / 西班牙语 / 法语,8.6,147282,183655,97900,29414,343
236,https://movie.douban.com/subject/1291824/,黑鹰坠落 Black Hawk Down,2001,雷德利·斯科特,144,美国,英语 / 阿拉伯语 / 索马里语,8.6,150233,198793,48250,22885,379
237,https://movie.douban.com/subject/4023638/,国王的演讲 The King's Speech,2010,汤姆·霍珀,118,英国 / 澳大利亚 / 美国,英语,8.3,404544,593206,124685,76361,1256
238,https://movie.douban.com/subject/1292062/,美国丽人 American Beauty,1999,萨姆·门德斯,122,美国,英语,8.5,220343,292779,92523,40913,1293
239,https://movie.douban.com/subject/5908478/,我爱你 그대를 사랑합니다,2011,秋昌旼,118,韩国,韩语,9.0,75158,91713,83468,23940,736
240,https://movie.douban.com/subject/1300960/,碧海蓝天 Le grand bleu,1988,吕克·贝松,132分钟(法,法国 / 美国 / 意大利,法语 / 英语 / 意大利语,8.7,118317,164938,101881,25716,1098
241,https://movie.douban.com/subject/1300117/,千钧一发 Gattaca,1997,安德鲁·尼科尔,106,美国,英语 / 世界语,8.7,114849,144828,90682,28269,578
242,https://movie.douban.com/subject/1867345/,遗愿清单 The Bucket List,2007,罗伯·莱纳,97 ,美国,英语,8.5,165289,214667,80696,33226,998
243,https://movie.douban.com/subject/3007773/,海盗电台 The Boat That Rocked,2009,理查德·柯蒂斯,116 ,英国 / 德国 / 法国,英语,8.6,186196,234086,107042,43576,854
244,https://movie.douban.com/subject/1905462/,荒野生存 Into the Wild,2007,西恩·潘,148,美国,英语 / 丹麦语,8.6,151133,217849,144563,36621,2162
245,https://movie.douban.com/subject/1291853/,英国病人 The English Patient,1996,安东尼·明格拉,162,美国 / 英国,英语 / 德语 / 意大利语 / 阿拉伯语,8.5,199976,272019,144803,38002,957
246,https://movie.douban.com/subject/1298653/,荒岛余生 Cast Away,2000,罗伯特·泽米吉斯,143,美国,英语 / 俄语,8.5,167150,248741,70889,25885,600
247,https://movie.douban.com/subject/3592854/,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,2015,乔治·米勒,120,澳大利亚 / 美国,英语,8.6,257516,317328,54483,69446,514
248,https://movie.douban.com/subject/1300741/,枪火 鎗火,1999,杜琪峰,84分钟(香,香港,粤语,8.7,121544,158929,53724,22880,337
249,https://movie.douban.com/subject/3217169/,勇士 Warrior,2011,加文·欧康诺,140,美国,英语,8.9,101460,123540,66711,28326,580
250,https://movie.douban.com/subject/1291936/,攻壳机动队 攻殻機動隊,1995,押井守,83,日本,日语,8.9,74607,93323,57342,14575,220
